Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
29010.359, 29011.305, 29010.832, -9999.00,-9999.00,-9999.00
29011.305, 29012.253, 29011.779, -9999.00,-9999.00,-9999.00
29012.253, 29013.197, 29012.725, -9999.00,-9999.00,-9999.00
29013.197, 29014.143, 29013.670, -9999.00,-9999.00,-9999.00
29014.155, 29015.102, 29014.628, -9999.00,-9999.00,-9999.00
29015.110, 29016.056, 29015.583, -9999.00,-9999.00,-9999.00
29016.056, 29017.003, 29016.530, -9999.00,-9999.00,-9999.00
29017.003, 29017.949, 29017.476, -9999.00,-9999.00,-9999.00
29017.949, 29018.896, 29018.423, -9999.00,-9999.00,-9999.00
29018.896, 29019.842, 29019.369, -9999.00,-9999.00,-9999.00
29019.847, 29020.793, 29020.320, -9999.00,-9999.00,-9999.00
29020.808, 29021.754, 29021.281, -9999.00,-9999.00,-9999.00
29021.754, 29022.700, 29022.227, -9999.00,-9999.00,-9999.00
29022.700, 29023.646, 29023.173, -9999.00,-9999.00,-9999.00
29023.646, 29024.592, 29024.119, -9999.00,-9999.00,-9999.00
29024.592, 29025.538, 29025.065, -9999.00,-9999.00,-9999.00
29025.538, 29026.484, 29026.011, -9999.00,-9999.00,-9999.00
29026.501, 29027.448, 29026.975, -9999.00,-9999.00,-9999.00
29027.450, 29028.396, 29027.923, -9999.00,-9999.00,-9999.00
29028.396, 29029.342, 29028.869, -9999.00,-9999.00,-9999.00
29029.342, 29030.289, 29029.815, -9999.00,-9999.00,-9999.00
29030.289, 29031.235, 29030.762, -9999.00,-9999.00,-9999.00
29031.235, 29032.181, 29031.708, -9999.00,-9999.00,-9999.00
29032.193, 29033.138, 29032.665, -9999.00,-9999.00,-9999.00
29033.147, 29034.094, 29033.620, -9999.00,-9999.00,-9999.00
29034.094, 29035.040, 29034.567, -9999.00,-9999.00,-9999.00
29035.040, 29035.986, 29035.513, -9999.00,-9999.00,-9999.00
29035.986, 29036.932, 29036.459, -9999.00,-9999.00,-9999.00
29036.939, 29037.887, 29037.413, -9999.00,-9999.00,-9999.00
29037.904, 29038.850, 29038.377, -9999.00,-9999.00,-9999.00
29038.850, 29039.796, 29039.323, -9999.00,-9999.00,-9999.00
29039.796, 29040.742, 29040.269, -9999.00,-9999.00,-9999.00
29040.742, 29041.688, 29041.215, -9999.00,-9999.00,-9999.00
29041.688, 29042.634, 29042.161, -9999.00,-9999.00,-9999.00
29042.634, 29043.580, 29043.107, -9999.00,-9999.00,-9999.00
29043.598, 29044.546, 29044.072, -9999.00,-9999.00,-9999.00
29044.547, 29045.493, 29045.020, -9999.00,-9999.00,-9999.00
29045.493, 29046.440, 29045.967, -9999.00,-9999.00,-9999.00
29046.440, 29047.386, 29046.913, -9999.00,-9999.00,-9999.00
29047.386, 29048.333, 29047.860, -9999.00,-9999.00,-9999.00
29048.333, 29049.279, 29048.806, -9999.00,-9999.00,-9999.00
29049.288, 29050.234, 29049.761, -9999.00,-9999.00,-9999.00
29050.240, 29051.185, 29050.713, -9999.00,-9999.00,-9999.00
29051.185, 29052.131, 29051.658, -9999.00,-9999.00,-9999.00
29052.131, 29053.077, 29052.604, -9999.00,-9999.00,-9999.00
29053.077, 29054.024, 29053.550, -9999.00,-9999.00,-9999.00
29054.027, 29054.975, 29054.501, -9999.00,-9999.00,-9999.00
29054.981, 29055.927, 29055.454, -9999.00,-9999.00,-9999.00
29055.927, 29056.872, 29056.399, -9999.00,-9999.00,-9999.00
29056.872, 29057.818, 29057.345, -9999.00,-9999.00,-9999.00
29057.818, 29058.766, 29058.292, -9999.00,-9999.00,-9999.00
29058.766, 29059.712, 29059.239, -9999.00,-9999.00,-9999.00
29059.712, 29060.658, 29060.185, -9999.00,-9999.00,-9999.00
29060.663, 29061.610, 29061.137, -9999.00,-9999.00,-9999.00
29061.610, 29062.556, 29062.083, -9999.00,-9999.00,-9999.00
29062.556, 29063.502, 29063.029, -9999.00,-9999.00,-9999.00
29063.502, 29064.448, 29063.975, -9999.00,-9999.00,-9999.00
29064.448, 29065.394, 29064.921, -9999.00,-9999.00,-9999.00
29065.394, 29066.340, 29065.867, -9999.00,-9999.00,-9999.00
29066.346, 29067.292, 29066.819, -9999.00,-9999.00,-9999.00
29067.296, 29068.241, 29067.769, -9999.00,-9999.00,-9999.00
29068.241, 29069.189, 29068.715, -9999.00,-9999.00,-9999.00
29069.189, 29070.135, 29069.662, -9999.00,-9999.00,-9999.00
29070.135, 29071.080, 29070.608, -9999.00,-9999.00,-9999.00
29071.086, 29072.031, 29071.558, -9999.00,-9999.00,-9999.00
29072.041, 29072.988, 29072.514, -9999.00,-9999.00,-9999.00
29072.988, 29073.934, 29073.461, -9999.00,-9999.00,-9999.00
29073.934, 29074.880, 29074.407, -9999.00,-9999.00,-9999.00
29074.880, 29075.826, 29075.353, -9999.00,-9999.00,-9999.00
29075.826, 29076.774, 29076.300, -9999.00,-9999.00,-9999.00
29076.775, 29077.722, 29077.248, -9999.00,-9999.00,-9999.00
29077.736, 29078.689, 29078.213, -9999.00,-9999.00,-9999.00
29078.689, 29079.642, 29079.166, -9999.00,-9999.00,-9999.00
29079.642, 29080.593, 29080.117, -9999.00,-9999.00,-9999.00
29080.593, 29081.545, 29081.069, -9999.00,-9999.00,-9999.00
29081.545, 29082.491, 29082.018, -9999.00,-9999.00,-9999.00
29082.491, 29083.439, 29082.965, -9999.00,-9999.00,-9999.00
29083.453, 29084.403, 29083.928, -9999.00,-9999.00,-9999.00
29084.410, 29085.362, 29084.886, -9999.00,-9999.00,-9999.00
29085.362, 29086.314, 29085.838, -9999.00,-9999.00,-9999.00
29086.314, 29087.261, 29086.788, -9999.00,-9999.00,-9999.00
29087.261, 29088.214, 29087.738, -9999.00,-9999.00,-9999.00
29088.214, 29089.166, 29088.690, -9999.00,-9999.00,-9999.00
29089.172, 29090.124, 29089.648, -9999.00,-9999.00,-9999.00
29090.133, 29091.085, 29090.609, -9999.00,-9999.00,-9999.00
29091.085, 29092.030, 29091.557, -9999.00,-9999.00,-9999.00
29092.030, 29092.978, 29092.504, -9999.00,-9999.00,-9999.00
