Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
40351.0,-15.0481937,5.0302136,4703.4,8.125,70.63,40351.0,,,,0.0
40352.0,-15.048674400000001,5.0312711,4697.6,8.125,71.0,40352.0,,,,0.0
40354.0,-15.049474100000001,5.0331103,4687.6,7.966,71.25,40354.0,,,,0.0
40355.0,-15.049892300000002,5.034212,4683.6,7.966,71.85,40356.0,,,-0.02,0.0
40356.0,-15.0503191,5.0353974,4680.2,7.8260000000000005,69.04,40357.0,,,,0.0
40357.0,-15.050789600000002,5.036874,4673.5,7.8260000000000005,67.87,40358.0,,,,0.0
40358.0,-15.051292300000002,5.0385651,4664.6,8.126,71.53,40359.0,,,,0.0
40359.0,-15.051680599999997,5.040003,4657.8,8.126,68.44,40360.0,,,,0.0
40361.0,-15.052096100000002,5.0420803,4650.7,7.824,69.45,40362.0,,,,0.0
40362.0,-15.052305800000003,5.043386099999999,4645.5,7.98,69.51,40362.0,,,,0.0
40363.0,-15.052509699999998,5.0446805,4640.2,7.98,70.1,40363.0,,,,0.0
40365.0,-15.0527709,5.0468573,4631.2,7.939,67.44,40365.0,,,0.47,0.0
40366.0,-15.052837099999998,5.0480643,4625.5,7.939,67.49,40366.0,,,,0.0
40367.0,-15.0528848,5.0493053,4619.4,7.965,68.2,40367.0,,,,0.0
40368.0,-15.0529,5.0506303,4614.4,7.965,66.65,40368.0,,,,0.0
40369.0,-15.0529,5.0519944,4609.9,8.343,68.43,40369.0,,,,0.0
40370.0,-15.052861199999999,5.0532695,4603.9,8.343,68.42,40370.0,,,-0.18,0.0
40371.0,-15.052811199999999,5.054518900000001,4597.5,7.974,68.74000000000001,40371.0,,,,0.0
40372.0,-15.0526703,5.0560317,4591.7,7.974,67.21,40373.0,0.0,,,0.0
40373.0,-15.0525031,5.057621,4586.1,7.832000000000001,68.52,40374.0,0.0,,,0.0
40374.0,-15.0523336,5.0590150000000005,4581.5,7.832000000000001,68.5,40375.0,0.0,,0.43,0.0
40375.0,-15.052160699999998,5.0600959,4578.3,7.912000000000001,69.02,40376.0,0.0,,,0.0
40376.0,-15.051985199999999,5.0611772,4575.1,7.912000000000001,69.29,40377.0,0.0,,,0.0
40378.0,-15.0515669,5.063352,4566.6,7.593,68.68,40379.0,0.0,,,0.0
40379.0,-15.051253200000001,5.064841599999999,4561.2,7.593,70.94,40379.0,0.0,,0.3,0.0
40380.0,-15.0508902,5.0665203000000005,4555.1,7.382999999999999,68.41,40380.0,0.0,,,0.0
40381.0,-15.050611300000002,5.0677547999999994,4550.0,7.382999999999999,68.98,40381.0,0.0,,,0.0
40382.0,-15.050425,5.0685001,4546.0,1.073,69.78,40382.0,3.0,,,0.0
40383.0,-15.0501625,5.069629099999999,4544.5,0.024,68.43,40383.0,10.0,,,0.0
40384.0,-15.049888300000001,5.0707468,4539.1,0.022000000000000002,67.35,40384.0,25.0,,0.01,0.0
40385.0,-15.0496166,5.0718336,4534.2,0.021,67.98,40385.0,43.0,,,0.0
40386.0,-15.049187900000002,5.0736003,4527.1,0.02,69.57,40386.0,59.0,,,0.0
40387.0,-15.048771599999998,5.0753135,4520.5,0.02,69.37,40387.0,67.0,,,0.0
40388.0,-15.0484665,5.0764004,4515.5,0.022000000000000002,68.79499999999999,40388.0,57.0,,0.04,0.0
40389.0,-15.048125699999998,5.077522,4509.4,0.022000000000000002,68.41,40390.0,,,,0.0
40390.0,-15.0478522,5.0786914,4505.0,0.022000000000000002,68.77,40391.0,,,,0.0
40391.0,-15.0475755,5.0797735,4499.0,0.022000000000000002,69.42,40392.0,,,,0.0
40392.0,-15.047209900000002,5.0808704,4496.2,0.022000000000000002,67.73,40393.0,,,,0.0
40393.0,-15.046936800000001,5.0819528,4492.9,0.022000000000000002,69.37,40394.0,,,0.26,0.0
40394.0,-15.046584099999999,5.0831267,4488.4,0.022000000000000002,67.24,40395.0,,,,0.0
40395.0,-15.046288800000001,5.0842446,4484.5,0.022000000000000002,68.74,40396.0,,,,0.0
40396.0,-15.045956400000001,5.0853307999999995,4479.0,0.022000000000000002,67.83,40396.0,,,,0.0
40397.0,-15.0454378,5.0870417,4471.1,0.022000000000000002,68.79,40397.0,,,,0.0
40398.0,-15.044970600000001,5.0887609000000005,4464.3,0.022000000000000002,67.24,40398.0,,,-0.14,0.0
40399.0,-15.0446638,5.089908599999999,4460.1,0.021,69.71,40399.0,,,,0.0
40400.0,-15.044326500000002,5.090994,4455.6,0.021,69.0,40400.0,,,,0.0
40401.0,-15.0440372,5.0920883,4450.3,0.021,68.86,40401.0,,,,0.0
40402.0,-15.043676199999998,5.0931713,4446.1,0.022000000000000002,68.51,40402.0,,,,0.0
40403.0,-15.0433106,5.0942682,4440.8,0.022000000000000002,68.85,40403.0,,,0.12,0.0
40404.0,-15.0430337,5.0953650999999995,4437.7,0.022000000000000002,68.63,40404.0,,,,0.0
40405.0,-15.042684,5.096527099999999,4431.3,0.021,68.77,40405.0,,,,0.0
