Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,CDP_LWC
40208.0,-12.6244601,5.0,5484.6,0.013000000000000001,76.5,40208.0,,,0.0
40209.0,-12.625786199999999,5.0,5483.7,0.013000000000000001,78.34,40209.0,,,0.0
40210.0,-12.6271133,5.0,5480.9,0.013000000000000001,77.91,40210.0,,,0.0
40211.0,-12.628380400000001,5.0,5481.6,0.012,76.53,40212.0,,,0.0
40212.0,-12.6299146,5.0,5483.5,0.013000000000000001,77.26,40213.0,,,0.0
40213.0,-12.632328900000001,5.0,5484.3,0.013999999999999999,76.9,40214.0,,,0.0
40214.0,-12.6337,5.0,5485.2,0.012,76.81,40215.0,,,0.0
40215.0,-12.634962400000001,5.0,5482.7,0.013000000000000001,78.38,40216.0,,,0.0
40216.0,-12.6362402,5.0,5483.9,0.013000000000000001,77.53,40217.0,,,0.0
40217.0,-12.6375209,5.0,5483.6,0.013000000000000001,79.51,40218.0,,,0.0
40218.0,-12.6387879,5.0,5483.9,0.013999999999999999,80.12,40219.0,,,0.0
40219.0,-12.6401144,5.0,5484.6,0.013000000000000001,80.21,40219.0,,,0.0
40220.0,-12.6414312,5.0,5485.3,0.013000000000000001,78.54,40220.0,,,0.0
40221.0,-12.6427004,5.0,5485.4,0.013000000000000001,77.78,40221.0,,,0.0
40222.0,-12.6439804,5.0,5484.7,0.013000000000000001,78.18,40222.0,,,0.0
40223.0,-12.645533,5.0,5485.6,0.013000000000000001,80.18,40223.0,,,0.0
40224.0,-12.6480203,5.0,5487.3,0.013000000000000001,79.77,40224.0,,,0.0
40225.0,-12.6493,5.0,5483.7,0.013000000000000001,79.08,40225.0,,,0.0
40226.0,-12.650580900000001,5.0,5484.8,0.013000000000000001,79.44,40226.0,,,0.0
40227.0,-12.651844,5.0,5486.6,0.013000000000000001,79.76,40227.0,,,0.0
40228.0,-12.653120900000001,5.0,5486.1,0.013000000000000001,80.07,40228.0,,,0.0
40229.0,-12.654451400000001,5.0,5486.0,0.013000000000000001,77.81,40230.0,,,0.0
40230.0,-12.6557601,5.0,5485.9,0.013000000000000001,80.46,40231.0,,,0.0
40231.0,-12.657040400000001,5.0,5485.1,0.013000000000000001,80.45,40232.0,,,0.0
40232.0,-12.6583133,5.0,5483.7,0.013000000000000001,78.5,40233.0,,,0.0
40233.0,-12.659580400000001,5.0,5483.0,0.013000000000000001,79.74,40234.0,,,0.0
40234.0,-12.661133,5.0,5484.2,0.013000000000000001,80.01,40235.0,,,0.0
40235.0,-12.663620300000002,4.999991400000001,5486.1,0.013000000000000001,79.56,40236.0,,,0.0
40236.0,-12.6649,4.9999,5483.0,0.013000000000000001,79.64,40236.0,,,0.0
40237.0,-12.666162400000001,4.9999,5484.7,0.013000000000000001,79.21,40237.0,,,0.0
40238.0,-12.667440199999998,4.9999,5483.1,0.013999999999999999,80.02,40238.0,,,0.0
40239.0,-12.668793800000001,4.9999,5483.2,0.013000000000000001,79.79,40239.0,,,0.0
40240.0,-12.6700879,4.9999,5483.9,0.013000000000000001,81.62,40240.0,,,0.0
40241.0,-12.6713601,4.9999,5484.4,0.013000000000000001,80.54,40241.0,,,0.0
40242.0,-12.6726312,4.9999,5484.0,0.013000000000000001,80.02,40242.0,,,0.0
40243.0,-12.6739004,4.9999,5483.8,0.013000000000000001,79.77,40243.0,,,0.0
40244.0,-12.6752076,4.9999,5484.3,0.013000000000000001,80.22,40244.0,,,0.0
40245.0,-12.6768146,4.9999,5484.0,0.013000000000000001,78.13,40245.0,,,0.0
40246.0,-12.6792203,4.9999,5485.1,0.013999999999999999,77.61,40247.0,,,0.0
40247.0,-12.6805,4.9999,5481.5,0.013000000000000001,77.07,40248.0,,,0.0
40248.0,-12.681780900000001,4.9999,5482.9,0.013000000000000001,78.9,40249.0,,,0.0
40249.0,-12.6831257,4.9999,5483.8,0.013000000000000001,79.28,40250.0,,,0.0
40250.0,-12.684420900000001,4.9999,5483.5,0.013000000000000001,76.83,40251.0,,,0.0
40251.0,-12.6856879,4.9999,5483.0,0.013000000000000001,77.75,40252.0,,,0.0
40252.0,-12.6869601,4.9999,5484.6,0.013000000000000001,78.5,40253.0,,,0.0
40253.0,-12.688240400000002,4.9999,5485.0,0.013000000000000001,78.79,40254.0,,,0.0
40254.0,-12.6895133,4.9999,5484.0,0.013000000000000001,77.96,40254.0,,,0.0
40255.0,-12.6908076,4.9999,5484.3,0.013000000000000001,77.19,40255.0,,,0.0
40256.0,-12.6924146,4.9999,5483.3,0.013000000000000001,78.52,40256.0,,,0.0
40257.0,-12.694820300000002,4.9999,5481.9,0.013000000000000001,79.61,40257.0,,,0.0
40258.0,-12.6961,4.9999,5485.8,0.013999999999999999,77.82,40258.0,,,0.0
40259.0,-12.6973809,4.9999,5483.8,0.013000000000000001,78.99,40259.0,,,0.0
40260.0,-12.698725699999999,4.9999,5482.9,0.013000000000000001,79.17,40260.0,,,0.0
40261.0,-12.7000209,4.9999,5482.1,0.013000000000000001,79.61,40261.0,,,0.0
40262.0,-12.7012879,4.9999,5484.0,0.013000000000000001,76.67,40262.0,,,0.0
40263.0,-12.7025601,4.9999,5484.7,0.013999999999999999,80.375,40263.0,,,0.0
40264.0,-12.7038404,4.9999,5484.3,0.013999999999999999,80.26,40265.0,,,0.0
40265.0,-12.70515,4.9999,5484.6,0.013000000000000001,78.77,40266.0,,,0.0
40266.0,-12.7064804,4.9999,5484.6,0.013000000000000001,79.9,40267.0,,,0.0
40267.0,-12.708014599999998,4.9999,5483.4,0.013999999999999999,80.69,40268.0,,,0.0
40268.0,-12.710420300000001,4.9999,5484.8,0.013000000000000001,77.77,40269.0,,,0.0
40269.0,-12.7117,4.9999,5484.0,0.013000000000000001,82.02,40270.0,,,0.0
40270.0,-12.7130724,4.9999,5485.4,0.013000000000000001,79.45,40271.0,,,0.0
40271.0,-12.714344,4.9999,5484.5,0.013000000000000001,79.51,40271.0,,,0.0
40272.0,-12.7156061,4.9999,5481.2,0.013000000000000001,79.67,40272.0,,,0.0
40273.0,-12.7168804,4.9999,5481.0,0.013999999999999999,78.92,40273.0,,,0.0
40274.0,-12.718160099999999,4.9999,5482.7,0.013000000000000001,78.8,40274.0,,,0.0
40275.0,-12.7194763,4.9999,5484.5,0.013000000000000001,77.58,40275.0,,,0.0
40276.0,-12.7208004,4.9999,5485.8,0.013000000000000001,77.02,40276.0,,,0.0
40277.0,-12.722080400000001,4.9999,5486.3,0.013999999999999999,77.83,40277.0,,,0.0
40278.0,-12.7236146,4.9999,5485.8,0.013000000000000001,76.21,40278.0,,,0.0
